"Campaign","Publisher","Experiment","nonzeroBid","zeroBid","Impressions","Avg Bid value"
"Adairs_AU","rtbFBX","A23","1.0","0.0","0.0","50.6252"
"BR_Beauty_Box","rtbFB-XNF","A23","224.0","0.0","1.0","17.333028397321428"
"","rtbFBX","A23","3111.0","0.0","60.0","15.998189860173577"
"BR_Brastemp","rtbFBX","A23","11669.0","0.0","1011.0","38.71152197343388"
"BR_CamisariaColombo","rtbFBX","A23","36371.0","0.0","692.0","8.359745986692694"
"BR_Citylar_RicEl","rtbFBX","A23","1119.0","0.0","75.0","15.814047934763181"
"BR_Clickchique","rtbFB-XNF","A23","660.0","0.0","32.0","117.64984227272728"
"","rtbFBX","A23","7591.0","0.0","1536.0","56.30909153892768"
"BR_Dafiti_AR","rtbFB-XNF","A23","405566.0","0.0","8647.0","197.9924530089332"
"","rtbFBX","A23","688224.0","0.0","71660.0","58.71031506049047"
"BR_Dafiti_CL","rtbFB-XNF","A23","518.0","0.0","9.0","85.4050608050193"
"","rtbFBX","A23","988.0","0.0","208.0","63.244837929149796"
"BR_Dafiti_CO","rtbFBX","A23","3042.0","0.0","129.0","32.61124687606838"
"BR_Dafiti_MX","rtbFB-XNF","A23","2729.0","0.0","32.0","50.40668148955661"
"","rtbFBX","A23","10356.0","0.0","1473.0","27.485649228563155"
"BR_Dafiti_Sports","rtbFB-XNF","A23","7120.0","0.0","104.0","121.95368936264046"
"","rtbFBX","A23","90756.0","0.0","5659.0","46.6849381095024"
"BR_Eletroshopping_RicEl","rtbFBX","A23","1526.0","0.0","66.0","16.57261363826999"
"BR_FellipeKrein","rtbFBX","A23","1400.0","0.0","57.0","15.04698420357143"
"BR_GiulianaFlores","rtbFB-XNF","A23","2567.0","0.0","31.0","71.87694440085701"
"","rtbFBX","A23","41240.0","0.0","614.0","9.340216839233753"
"BR_GrandBrasil","rtbFBX","A23","2367.0","0.0","98.0","21.846432825517535"
"BR_Groupon","rtbFB-XNF","A23","17713.0","0.0","271.0","96.16485658149381"
"","rtbFBX","A23","378144.0","0.0","44694.0","40.30785625327124"
"BR_Hering","rtbFBX","A23","50416.0","0.0","1227.0","14.043416749583464"
"BR_Hering_ForYou","rtbFBX","A23","1343.0","0.0","11.0","7.382569301563663"
"BR_HotelUrbano","rtbFBX","A23","90405.0","0.0","10182.0","53.400888360378296"
"BR_HotelUrbano_Packages","rtbFB-XNF","A23","86212.0","1339657.0","840.0","191.09039663669793"
"","rtbFBX","A23","1624381.0","4488137.0","251824.0","67.91069957185168"
"","rtbappnexus","A23","888213.0","4552228.0","73481.0","51.68645484105502"
"","rtbgoogle","A23","1185783.0","1.3607795E7","214198.0","60.840088932629335"
"BR_ICarros","rtbFBX","A23","46498.0","0.0","6887.0","35.40925566658781"
"BR_Inmuebles_MX","rtbFBX","A23","780.0","0.0","11.0","4.783511107692307"
"BR_Insinuante_RicEl","rtbFBX","A23","5249.0","0.0","326.0","19.531236344827587"
"BR_LancaPerfume","rtbFB-XNF","A23","283.0","0.0","4.0","91.7861996360424"
"","rtbFBX","A23","12245.0","0.0","574.0","24.18689748705594"
"BR_Linio_PA","rtbFB-XNF","A23","1037.0","0.0","8.0","41.158856030858246"
"","rtbFBX","A23","3345.0","0.0","204.0","11.985385503736921"
"BR_NSMX_TiendaAmerica","rtbFBX","A23","721.0","0.0","52.0","6.368431475728156"
"BR_NSMX_TiendaChivas","rtbFBX","A23","163.0","0.0","7.0","4.63348063803681"
"BR_NSMX_TiendaCruza","rtbFBX","A23","10.0","0.0","0.0","10.530707099999999"
"BR_NSMX_TiendaNBA","rtbFBX","A23","653.0","0.0","4.0","8.384685825421133"
"BR_NSMX_TiendaNFL","rtbFBX","A23","13.0","0.0","0.0","23.203052615384614"
"BR_NSMX_TiendaPumas","rtbFBX","A23","600.0","0.0","60.0","4.230646611666667"
"BR_Netfarma","rtbFBX","A23","12773.0","0.0","1329.0","40.68457692061379"
"BR_NewEra","rtbFBX","A23","17681.0","0.0","304.0","8.818767635258187"
"BR_Nike","rtbFBX","A23","150615.0","0.0","22937.0","43.26536880132789"
"BR_Oppa","rtbFB-XNF","A23","1189.0","0.0","9.0","47.70836185365854"
"","rtbFBX","A23","15445.0","0.0","175.0","8.162241157461962"
"BR_PontoFrio","rtbFB-XNF","A23","0.0","13.0","0.0","NaN"
"","rtbFBX","A23","55138.0","0.0","8293.0","90.16232296399942"
"BR_Quinstreet","rtbFBX","A23","12872.0","0.0","272.0","9.640715023927905"
"BR_RiHappy","rtbFB-XNF","A23","111.0","0.0","4.0","29.960471927927927"
"","rtbFBX","A23","1537.0","0.0","332.0","58.80333805139884"
