"Campaign","Payout Type","Publisher","Experiment IntelliBid","Impressions","Conversions","Conversions one day","Booked Revenue (INR)","Cost (INR)","ePPC (INR)","ePPA (INR)"
"Groupon-AU","CPC","rtbFBX","A23","4.0","0.0","0.0","0.0","0.079949625","NaN","NaN"
"BR_Beauty_Box","CPC","rtbFB-XNF","A23","2.0","0.0","0.0","0.0","0.132590745","NaN","NaN"
"","","rtbFBX","A23","52.0","0.0","0.0","0.0","1.3738995900000002","NaN","NaN"
"BR_Brastemp","CPA","rtbFBX","A23","590.0","0.0","0.0","0.0","21.661565625","0.0","NaN"
"BR_CamisariaColombo","CPC","rtbFBX","A23","734.0","0.0","0.0","29.5546732","15.088916955","7.3886683","Infinity"
"BR_Citylar_RicEl","CPC","rtbFBX","A23","36.0","0.0","0.0","0.0","0.7773809399999999","NaN","NaN"
"BR_Clickchique","CPC","rtbFB-XNF","A23","35.0","0.0","0.0","8.4604473","4.3479342899999995","8.4604473","Infinity"
"","","rtbFBX","A23","1015.0","0.0","0.0","92.9348811","40.912977945","8.448625554545455","Infinity"
"BR_Dafiti_AR","CPC","rtbFB-XNF","A23","1071.0","0.0","0.0","34.8627701","132.84241887000002","3.169342736363636","Infinity"
"","","rtbFBX","A23","10146.0","1.0","1.0","326.49217530000004","650.924942115","3.1698269446601945","326.49217530000004"
"BR_Dafiti_CL","CPA","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","0.08801184","NaN","NaN"
"","","rtbFBX","A23","17.0","0.0","0.0","0.0","0.042099855","NaN","NaN"
"BR_Dafiti_CO","CPC","rtbFBX","A23","3.0","0.0","0.0","0.0","0.042041055","NaN","NaN"
"BR_Dafiti_MX","CPC","rtbFB-XNF","A23","1.0","0.0","0.0","0.0","6.71895E-4","NaN","NaN"
"","","rtbFBX","A23","122.0","0.0","0.0","0.0","3.4380736950000004","NaN","NaN"
"BR_Dafiti_Sports","CPC","rtbFB-XNF","A23","10.0","0.0","0.0","0.0","0.8078303099999999","NaN","NaN"
"","","rtbFBX","A23","419.0","0.0","0.0","8.44419208","14.61150936","5.27762005","Infinity"
"BR_Eletroshopping_RicEl","CPC","rtbFBX","A23","76.0","0.0","0.0","0.0","1.27449189","NaN","NaN"
"BR_FellipeKrein","CPC","rtbFBX","A23","55.0","0.0","0.0","0.0","1.9275916800000001","NaN","NaN"
"BR_GiulianaFlores","CPC","rtbFB-XNF","A23","30.0","0.0","0.0","0.0","3.3802186950000004","NaN","NaN"
"","","rtbFBX","A23","538.0","0.0","0.0","10.5349216","8.356436865000001","10.5349216","Infinity"
"BR_GrandBrasil","CPA","rtbFBX","A23","69.0","0.0","0.0","0.0","2.51634474","NaN","NaN"
"BR_Groupon","CPA","rtbFB-XNF","A23","99.0","0.0","0.0","0.0","14.901405014999998","0.0","NaN"
"","","rtbFBX","A23","7437.0","0.0","0.0","0.0","410.321625315","0.0","NaN"
"BR_Hering","CPC","rtbFBX","A23","1295.0","0.0","0.0","51.8202383","18.62437941","7.402891185714286","Infinity"
"BR_Hering_ForYou","CPC","rtbFBX","A23","4.0","0.0","0.0","0.0","0.07994973","NaN","NaN"
"BR_ICarros","CPA","rtbFBX","A23","5244.0","3.0","0.0","126.9067039","141.76815534","2.0143921253968253","42.302234633333335"
"BR_Inmuebles_MX","CPA","rtbFBX","A23","2.0","0.0","0.0","0.0","0.0","NaN","NaN"
"BR_Insinuante_RicEl","CPC","rtbFBX","A23","229.0","0.0","0.0","0.0","6.803183099999999","NaN","NaN"
"BR_NSMX_TiendaAmerica","CPC","rtbFBX","A23","53.0","0.0","0.0","0.0","0.10530786","NaN","NaN"
"BR_NSMX_TiendaChivas","CPC","rtbFBX","A23","3.0","0.0","0.0","0.0","0.0","NaN","NaN"
"BR_NSMX_TiendaNBA","CPC","rtbFBX","A23","2.0","0.0","0.0","0.0","0.06382078499999999","NaN","NaN"
"BR_NSMX_TiendaPumas","CPC","rtbFBX","A23","67.0","0.0","0.0","0.0","0.06508750499999999","NaN","NaN"
"BR_Netfarma","CPC","rtbFBX","A23","861.0","0.0","0.0","25.381341900000002","29.289216075","8.4604473","Infinity"
"BR_NewEra","CPC","rtbFBX","A23","320.0","0.0","0.0","7.4028912","3.545260215","7.4028912","Infinity"
"BR_Quinstreet","CPA","rtbFBX","A23","292.0","0.0","0.0","0.0","5.289916904999999","NaN","NaN"
"BR_Serasa","CPA","rtbFBX","A23","474.0","0.0","0.0","0.0","12.750621344999999","NaN","NaN"
"BR_SubmarinoCard","CPA","rtbFB-XNF","A23","38.0","0.0","0.0","0.0","3.2264600550000004","NaN","NaN"
"","","rtbFBX","A23","859.0","0.0","0.0","0.0","22.66620825","0.0","NaN"
"BR_SubmarinoViagens_Hotels","CPC","rtbFBX","A23","88.0","0.0","0.0","0.0","3.0476229","NaN","NaN"
"BR_SubmarinoViagens_Packages","CPC","rtbFBX","A23","755.0","0.0","0.0","9.5180025","26.0041593","9.5180025","Infinity"
"BR_TotalPlay_MX","CPC","rtbFBX","A23","1.0","0.0","0.0","0.0","0.0","NaN","NaN"
"BR_Tricae","CPA","rtbFBX","A23","59.0","0.0","0.0","0.0","1.322864655","NaN","NaN"
"BR_Uselets","CPC","rtbFB-XNF","A23","4.0","0.0","0.0","0.0","0.305480385","NaN","NaN"
"","","rtbFBX","A23","137.0","0.0","0.0","0.0","2.883545385","NaN","NaN"
"BR_Vivo","CPC","rtbFBX","A23","4029.0","0.0","0.0","101.36932","140.45493168000002","10.136932","Infinity"
