clientid	advertiser
196	100bestbuy
478	1stchoice_AU
737	21Cineplex-ID
424	21diamonds
508	2901_ozmall_salon_JP
886	99Acres
1021	99bikes_AU
76	99labels
1837	ABC_Testing
961	Abdul_Lateef_Jameel_Arabic
960	Abdul_Lateef_Jameel_English
100	Ace2three
148	Ace2three_New
338	Adairs_AU
1818	Adidas-MY
1820	Adidas-PH
1817	Adidas-SG
1819	Adidas-TH
1072	adventuretours_AU
2116	AD_Cleartrip
2134	AD_Commonfloor_DSP
2128	AD_EuroSportArabic
2200	AD_Flipkart_IN
622	agito_pl
133	Agoda-Hotels
1336	AIGDirect-ID
831	Airarabia_India_Arabic
829	Airarabia_India_English
1872	AirArabia_Saudi
832	Airarabia_UAE_Arabic
830	Airarabia_UAE_English
354	AirAsiaGo
740	AirAsiaGo-CN
759	AirAsiaGo-HK
757	AirAsiaGo-ID
741	AirAsiaGo-MY
758	AirAsiaGo-VN
360	airasiago_htl
1247	AirAsia_AU
202	Airtel_Hellotunes
1873	Air_Arabia_Saudi_Arabic
2844	Alibaba
495	AllSchoolStuff
930	Alshop
1256	Amazon_India
662	AmericaCarRental
786	AmericanHolidays
141	Aoyou_Packages
462	apollocamperINT_AU
421	apollocamper_AU
780	ApolloMunichInsurance
1972	AppD_MarkaVIP_MEA
1973	AppD_MarkaVIP_MEA_Ar
1814	APTouring_AU
426	AR_hoteles
1025	AsiaTravel-Flight
1024	AsiaTravel-Hotel
1571	Askhanuman-TH
509	AU-Energy-Matters
183	AU-Hotelscombined
895	AU-Medibank
269	AU-MensShop
1330	AU-MensShop_Mobile
896	AU-Needitnow
283	AU-Saba
530	AU-Shopping-com
270	AU-Vistaprint
253	AU-Wego
1444	Aussiehomeware_AU
779	AU_AllianzInsurance
2735	AU_Amaysim
579	AU_AtlantisGold
1440	AU_AussieTravelOffers
1228	AU_BIGW
1291	AU_Billabong
719	AU_Bookworld
893	AU_Careerone
541	AU_CatchoftheDay
617	AU_CreditCardFinder
2304	AU_egentic_DSP
1292	AU_ElementBrand
1144	AU_FirstChoice
640	AU_Goodguys
1145	AU_Ikoala
618	AU_InsureNGo
554	AU_iSelect
1311	AU_JetStar
2347	AU_LivingSocial_Sep14
537	AU_LornaJane
1204	AU_LornaJane_Mobile
2264	AU_Mozo_Aug14
614	AU_OzLotteries
529	AU_SimplyEnergy
576	AU_Sportingbet
607	AU_TerryWhite
1252	AU_theiconic
1293	AU_TigerLilySwimWear
527	AU_TopBuy
528	AU_TravelBug
776	AU_VintageCellars
971	AU_Virgin_CarHire
