"Campaign","Payout Type","Publisher","Experiment IntelliBid","Subexperiment IntelliBid","Impressions","Clicks","Conversions","Conversions one day","Booked Revenue (CampCurr)","Cost (CampCurr)","ePPC (CampCurr)","ePPA (CampCurr)"
"Groupon-AU","CPC","rtbFBX","A23","A23_4-2","4.0","0.0","0.0","0.0","0.0","0.001249500709275","NaN","NaN"
"BR_Beauty_Box","CPC","rtbFB-XNF","A23","A23_0-2","1.0","0.0","0.0","0.0","0.0","0.003040482887694","NaN","NaN"
"","","","","A23_2-1","1.0","0.0","0.0","0.0","0.0","0.0032399334261","NaN","NaN"
"","","rtbFBX","A23","A23_1-1","4.0","0.0","0.0","0.0","0.0","0.00454226106726","NaN","NaN"
"","","","","A23_1-2","1.0","0.0","0.0","0.0","0.0","2.2234983246E-4","NaN","NaN"
"","","","","A23_2-1","3.0","0.0","0.0","0.0","0.0","0.005050483582284","NaN","NaN"
"","","","","A23_2-2","1.0","0.0","0.0","0.0","0.0","2.2234983246E-4","NaN","NaN"
"","","","","A23_3-1","6.0","0.0","0.0","0.0","0.0","0.011298399541632","NaN","NaN"
"","","","","A23_3-2","1.0","0.0","0.0","0.0","0.0","2.54111257512E-4","NaN","NaN"
"","","","","A23_4-1","33.0","0.0","0.0","0.0","0.0","0.043162947170532","NaN","NaN"
"","","","","A23_5-1","3.0","0.0","0.0","0.0","0.0","2.22166345968E-4","NaN","NaN"
"BR_Brastemp","CPA","rtbFBX","A23","A23_1-1","54.0","2.0","0.0","0.0","0.0","0.19744116296058","0.0","NaN"
"","","","","A23_1-2","14.0","1.0","0.0","0.0","0.0","0.034087170757752","0.0","NaN"
"","","","","A23_2-1","59.0","0.0","0.0","0.0","0.0","0.14401966124729398","NaN","NaN"
"","","","","A23_2-2","21.0","1.0","0.0","0.0","0.0","0.048258654225012","0.0","NaN"
"","","","","A23_3-1","109.0","0.0","0.0","0.0","0.0","0.27479047273427404","NaN","NaN"
"","","","","A23_3-2","83.0","1.0","0.0","0.0","0.0","0.182475475453719","0.0","NaN"
"","","","","A23_4-1","50.0","0.0","0.0","0.0","0.0","0.09138600036789299","NaN","NaN"
"","","","","A23_4-2","14.0","0.0","0.0","0.0","0.0","0.008591659809767999","NaN","NaN"
"","","","","A23_5-1","186.0","0.0","0.0","0.0","0.0","0.044143836992640004","NaN","NaN"
