"Campaign","Publisher","Experiment","Sub Experiment","nonzeroBid","zeroBid","Impressions","Avg Bid value"
"99Acres","rtbFBX","A23","1-0","485.0","0.0","73.0","63.14589013608247"
"","","","1-1","3043.0","8.0","431.0","45.98976885211962"
"","","","1-2","971.0","0.0","142.0","41.21796326673532"
"","","","1-3","38.0","0.0","2.0","25.58996113157895"
"","","","1-4","23.0","0.0","0.0","76.08914973913043"
"","","","1-5","5.0","0.0","3.0","143.36991519999998"
"","","","2-0","1090.0","7.0","96.0","38.03931796238532"
"","","","2-1","1311.0","0.0","171.0","41.663248855835235"
"","","","2-2","846.0","0.0","155.0","46.43713651891253"
"","","","2-3","99.0","0.0","6.0","24.898634565656565"
"","","","2-4","104.0","0.0","12.0","57.741401980769226"
"","","","2-5","85.0","0.0","11.0","36.197803799999996"
"","","","3-0","1992.0","0.0","138.0","22.903914957831322"
"","","","3-1","1753.0","22.0","174.0","28.47894007701084"
"","","","3-2","255.0","0.0","63.0","50.80138275294118"
"","","","3-3","526.0","0.0","17.0","17.13731124334601"
"","","","3-4","163.0","0.0","24.0","33.13930876687117"
"","","","3-5","296.0","0.0","36.0","43.32319606756757"
"","","","4-0","1977.0","0.0","105.0","11.929198465351543"
"","","","4-1","1828.0","8.0","61.0","13.953551486323851"
"","","","4-2","134.0","0.0","15.0","19.23047880597015"
"","","","4-3","717.0","0.0","32.0","14.426131698744769"
"","","","4-4","105.0","0.0","4.0","9.361962161904762"
"","","","4-5","460.0","0.0","8.0","8.258092393478261"
"","","","5-0","2850.0","0.0","33.0","6.266734273684211"
"","","","5-1","3079.0","33.0","125.0","8.222414144852225"
"","","","5-2","74.0","0.0","1.0","5.791665486486485"
"","","","5-3","198.0","0.0","5.0","7.596522378787878"
"","","","5-4","144.0","0.0","6.0","10.515551958333333"
"","","","5-5","596.0","0.0","10.0","5.962358533557047"
"Adairs_AU","rtbFBX","A23","5-1","1.0","0.0","0.0","50.6252"
"BR_Beauty_Box","rtbFB-XNF","A23","1-1","28.0","0.0","1.0","43.082450071428575"
"","","","1-2","3.0","0.0","1.0","29.58711533333333"
"","","","1-3","2.0","0.0","0.0","4.229431"
"","","","1-4","3.0","0.0","0.0","10.604095666666668"
"","","","2-1","55.0","0.0","2.0","51.211659036363635"
"","","","2-2","7.0","0.0","0.0","34.58554214285714"
"","","","2-3","1.0","0.0","0.0","4.229431"
"","","","2-4","3.0","0.0","0.0","10.604095666666668"
"","","","2-5","7.0","0.0","0.0","212.0946157142857"
"","rtbFBX","A23","1-1","468.0","0.0","24.0","25.581448756410257"
"","","","1-2","132.0","0.0","4.0","7.622810613636363"
"","","","2-1","217.0","0.0","10.0","20.366969087557603"
"","","","2-2","21.0","0.0","2.0","34.87438357142857"
"","","","3-1","414.0","0.0","14.0","27.516926618357488"
"","","","3-2","209.0","0.0","16.0","24.262245200956933"
"","","","4-1","735.0","0.0","72.0","33.7368052952381"
"","","","4-2","458.0","0.0","19.0","16.404199237991268"
"","","","5-1","1510.0","0.0","59.0","9.490653133112582"
"BR_Brastemp","rtbFBX","A23","1-1","2391.0","0.0","288.0","66.34325166081138"
"","","","1-2","673.0","0.0","140.0","83.32793124962853"
"","","","2-1","996.0","0.0","142.0","54.873182353413654"
"","","","2-2","196.0","0.0","57.0","90.20503901530611"
"","","","3-1","1919.0","0.0","262.0","67.13986869411151"
"","","","3-2","872.0","0.0","145.0","66.30409281192661"
"","","","3-3","1.0","0.0","0.0","28.313571"
"","","","4-1","1948.0","0.0","177.0","38.841464576488704"
"","","","4-2","1256.0","0.0","224.0","44.53166458280255"
"","","","5-1","5846.0","0.0","351.0","12.038454773349297"
"","","","5-3","1.0","0.0","0.0","6.362457"
